Кандидат,Партия,Голоса
Болгов Андрей Андреевич,КПКР,3109
Грачев Дмитрий Николаевич,ЛДПР,4184
Зеленов Юрий Владимирович,ГП,696
Сычёв Михаил Алексеевич,СР,2197
Шерстнев Сергей Александрович,ЕР,6236
