Кандидат,Партия,Голоса
Кичемайкин Кямран Васильевич,СР,951
Королёв Сергей Васильевич,ЕР,5368
Мингалеев Ринат Равхатович,КПКР,1872
Мурзаханов Габдулхак Абдуллович,КПРФ,9874
Юндин Сергей Анатольевич,ЛДПР,2870
