Кандидат,Партия,Голоса
Воронежский Дмитрий Николаевич,ЛДПР,2541
Калмыков Олег Анатольевич,КПКР,1557
Кузин Виталий Иванович,КПРФ,6804
Кунгуров Николай Витальевич,СР,1327
Ситников Алексей Геннадьевич,ЕР,4294
Чалов Андрей Иванович,ГП,377
