Кандидат,Партия,Голоса
Иванов Андрей Владимирович,КПРФ,9934
Ивленкова Наталья Геннадьевна,СР,1624
Камеко Владимир Николаевич,ЕР,12739
Китаева Марина Владимировна,ЛДПР,2739
Лукьянов Валерий Юрьевич,ГП,947
