Кандидат,Партия,Голоса
Вазанов Николай Иванович,ЛДПР,1885
Гурьянов Денис Владимирович,КПРФ,7811
Ерлычков Николай Федорович,СР,846
Малышев Валерий Васильевич,ЕР,19405
