Кандидат,Партия,Голоса
Выборнов Александр Викторович,ЛДПР,2912
Звягинец Сергей Николаевич,СР,1258
Плигузов Сергей Алексеевич,КПРФ,5517
Столыпин Борис Константинович,ЕР,14446
