Кандидат,Партия,Голоса
Вазанова Галина Николаевна,ЛДПР,2346
Гвоздев Василий Анатольевич,ЕР,5842
Жданов Сергей Борисович,СР,1184
Клюшенков Николай Николаевич,ГП,290
Кулаков Владимир Александрович,КПКР,1453
Панков Яков Викторович,КПРФ,5617
