Кандидат,Партия,Голоса
Овечкин Денис Михайлович,ГП,1101
Свирид Ольга Михайловна,СР,2859
Сорокина Елена Алексеевна,ЕР,5061
Ярков Алексей Сергеевич,ЛДПР,5192
