Кандидат,Партия,Голоса
Гашнев Александр Валерьевич,ГП,409
Глебов Сергей Николаевич,ЕР,4592
Кангро Антон Арнольдович,СР,971
Лонсков Михаил Владимирович,ЛДПР,2086
Седов Андрей Николаевич,КПРФ,6171
Седов Максим Дмитриевич,КПКР,2022
