Кандидат,Партия,Голоса
Бакальский Юрий Вячеславович,КПКР,1436
Барковский Виктор Викторович,ГП,367
Володарский Матвей Константинович,КПРФ,6966
Галимов Ирек Шамильевич,СР,1139
Пронина Марина Викторовна,ЛДПР,3480
Садретдинова Алсу Мубракшевна,ЕР,4724
