Кандидат,Партия,Голоса
Алеев Рафаиль Хамитович,СР,1615
Ершов Михаил Николаевич,КПКР,2875
Ерышев Александр Петрович,КПРФ,8493
Стекольников Александр Викторович,ЛДПР,2712
Хайруллин Рамиль Надирович,ЕР,8704
