Кандидат,Партия,Голоса
Медведев Алексей Борисович,ЛДПР,5261
Рожнов Игорь Евгеньевич,КПКР,4856
Русаков Михаил Валерьевич,СР,1801
Эдварс Ростислав Анатольевич,ЕР,4518
