Кандидат,Партия,Голоса
Абрамов Николай Николаевич,КПРФ,6054
Иващова Надежда Викторовна,ЛДПР,2285
Кочерина Елена Анатольевна,СР,1099
Шадышков Андрей Александрович,ЕР,13560
