Кандидат,Партия,Голоса
Борисов Александр Александрович,КПКР,2021
Бударин Геннадий Александрович,ЕР,3927
Кулаков Алексей Владимирович,СР,1285
Султашов Роман Амерханович,КПРФ,7153
Цибарков Алексей Александрович,ЛДПР,3140
