Кандидат,Партия,Голоса
Базанов Николай Борисович,КПРФ,9099
Киселева Василиса Вадимовна,ГП,1625
Корнев Андрей Николаевич,СР,1395
Корсаков Максим Александрович,ЛДПР,2363
Мартынов Вадим Станиславович,ЕР,10991
